Name,Keywords,Description,Location
Sixt SE,"Sixt, SE, car rental, mobility services, rental cars, car leasing, car sharing, Germany, Munich, Erich Sixt, luxury cars, economy cars, premium cars, business travel, leisure travel, airport rentals, online booking, customer service, global, international, transportation, chauffeur services, corporate clients, sustainability, innovation, digitalization, expansion, growth, stock market, Frankfurt Stock Exchange, FRA: SIX2, Europe, United States, Asia, Africa, Australia, South America, Middle East, car rental industry, travel industry, automotive industry, rental fleet, rental locations, rental agreements, rental insurance, rental upgrades, rental promotions, rental discounts, rental rewards, rental loyalty program.","Munich, Bavaria, Germany - March 31 2023: Sixt SE, a leading car rental company, offers premium mobility services in over 100 countries worldwide.","Munich, Bavaria, Germany"
ProSiebenSat.1 Media SE,"ProSiebenSat.1, Media, SE, stock market, Germany, CEO, entertainment, television, broadcasting, advertising, digital, media group, Munich, diversified, content, production, distribution, streaming, movies, series, news, sports, lifestyle, reality, shows, channels, audience, viewership, revenue, growth, innovation, technology, market leader, international, partnerships, collaborations, acquisitions, investments, shareholders, employees, corporate responsibility, sustainability, transparency, trust, quality, creativity, passion.","Munich, Bavaria, Germany - March 31 2023: ProSiebenSat.1 Media SE, a leading European entertainment company, offers a diverse portfolio of TV channels, digital platforms, and production companies.","Munich, Bavaria, Germany"
Wacker Chemie AG,"Wacker Chemie, AG, stock market symbol, Munich, Germany, CEO, chemicals, silicones, polymers, adhesives, sealants, coatings, construction, textiles, personal care, pharmaceuticals, agriculture, food, beverage, energy, automotive, electronics, solar, semiconductors, biotechnology, research, development, production, innovation, sustainability, quality, safety, reliability, efficiency, performance, growth, global, market leader, customer-focused, solutions, partnerships, collaboration, excellence, workforce, diversity, responsibility.","Munich, Bavaria, Germany - March 31 2023: Wacker Chemie AG is a leading global chemical company that produces high-quality products for various industries.","Munich, Bavaria, Germany."
KraussMaffei Group GmbH,"KraussMaffei Group, GmbH, stock market symbol, city, state, country, CEO name, machinery, plastics, engineering, automation, technology, innovation, manufacturing, production, equipment, machines, injection molding, extrusion, reaction process, polyurethane, composites, thermoplastics, automotive, packaging, medical, construction, energy, consumer goods, appliances, furniture, sports, leisure, transportation, aerospace, defense, marine, railway, industrial, global, leading, reliable, efficient, sustainable, high-quality, customer-oriented, service, support, solutions, partnership, growth.","Munich, Bavaria, Germany - March 31 2023: KraussMaffei Group GmbH, a leading manufacturer of plastics processing machinery, announces new innovations in sustainable production and digitalization.","Munich, Bavaria, Germany"
HypoVereinsbank,"HypoVereinsbank, HVB, Munich, Germany, CEO Theodor Weimer, banking, finance, investments, loans, mortgages, savings, credit cards, online banking, mobile banking, wealth management, asset management, private banking, corporate banking, retail banking, financial services, stock market, securities, bonds, insurance, real estate, leasing, factoring, cash management, payment services, foreign exchange, trade finance, capital markets, advisory services, risk management, compliance, regulatory, audit, sustainability, diversity, innovation, digitalization, customer service, community involvement, philanthropy.","Munich, Bavaria, Germany - March 31 2023: HypoVereinsbank is a leading German bank offering a wide range of financial services to individuals and businesses.","Munich, Bavaria, Germany."
Fujitsu Technology Solutions GmbH,"Fujitsu, Technology, Solutions, GmbH, Stock Market, Symbol, City, State, Country, CEO, Name, Information Technology, Computers, Hardware, Software, Services, Electronics, Innovation, Digital Transformation, Cloud Computing, Artificial Intelligence, Cybersecurity, Data Management, Networking, Storage, Servers, Workstations, Tablets, Laptops, Desktops, Printers, Scanners, Displays, Monitors, Telecommunications, Mobile Devices, IoT, Industry 4.0, Smart Cities, Energy, Healthcare, Retail, Finance, Education, Government, Manufacturing, Logistics, Transportation.","Munich, Bavaria, Germany - March 31 2023: Fujitsu Technology Solutions GmbH, a leading provider of IT products and services, offers innovative solutions for businesses to optimize their operations and enhance their digital transformation journey.","Munich, Bavaria, Germany"
PwC Germany,"PwC, Germany, stock market, CEO, audit, tax, consulting, accounting, advisory, Frankfurt, Munich, Berlin, Hamburg, Cologne, Düsseldorf, Stuttgart, Bremen, Hanover, Leipzig, Dresden, Nuremberg, Essen, Dortmund, Duisburg, Mannheim, Wiesbaden, Bonn, Karlsruhe, Augsburg, Bielefeld, Heidelberg, Chemnitz, Halle, Magdeburg, Kiel, Potsdam, Saarbrücken, Münster, Wuppertal, Gelsenkirchen, Leverkusen, Oldenburg, Neuss, CEO, Timo Renz, professional services, financial services, risk management, strategy, digital transformation.","Munich, Bavaria, Germany - March 31 2023: PwC Germany, a leading professional services firm, provides audit, tax, and consulting services to clients across various industries.","Frankfurt, Hesse, Germany."
KPMG AG,"KPMG AG, KPMG, AG, stock market, auditing, consulting, tax, advisory, financial services, Zurich, Switzerland, CEO, Bill Thomas, global network, professional services, risk management, accounting, assurance, tax planning, business advisory, corporate finance, strategy, innovation, digital transformation, data analytics, cybersecurity, regulatory compliance, governance, sustainability, ethics, transparency, quality, excellence, leadership, teamwork, diversity, inclusion, talent development, client service, industry expertise, financial reporting, capital markets, mergers and acquisitions, due diligence, IPO, restructuring, forensic, investigations, dispute resolution.","Munich, Bavaria, Germany - March 31 2023: KPMG AG is a leading professional services firm providing audit, tax, and advisory services to clients worldwide.","Zurich, Zurich, Switzerland"
Airbus Defence and Space GmbH,"Airbus Defence and Space, GmbH, stock market symbol, city, state, country, CEO name, aerospace, defense, technology, engineering, innovation, aircraft, satellites, space systems, military, security, communication, intelligence, surveillance, reconnaissance, navigation, avionics, cyber security, defense electronics, defense systems, defense services, space exploration, space transportation, space communication, space observation, space research, space technology, space defense, space security, space intelligence, space surveillance, space reconnaissance, space navigation, space avionics, space cyber security, space defense electronics, space defense systems, space defense services, space innovation, space engineering, space technology development, space manufacturing, space operations, space mission support, space training.","Munich, Bavaria, Germany - March 31 2023: Airbus Defence and Space GmbH, a leading European aerospace company, specializes in defense and space technologies.","Munich, Bavaria, Germany."
Amazon Development Center Germany GmbH,"Amazon, Development Center, Germany, GmbH, Stock Market, Symbol, City, State, Country, CEO, Name, E-commerce, Online Retail, Cloud Computing, Artificial Intelligence, Logistics, Technology, Innovation, Customer Service, Prime, Alexa, Kindle, Fire TV, Echo, Whole Foods, Amazon Web Services, AWS, Berlin, Munich, Hamburg, Frankfurt, Dusseldorf, Cologne, Stuttgart, Leipzig, Hanover, Bremen, Dresden, Nuremberg, Essen, Dortmund, Duisburg, Bochum, Wuppertal, Bonn, Mannheim, Karlsruhe, Augsburg, Wiesbaden, Münster, Gelsenkirchen, Braunschweig, Chemnitz, Kiel, Aachen.","Munich, Bavaria, Germany - March 31 2023: Amazon Development Center Germany GmbH, a subsidiary of Amazon, focuses on software development and innovation.","Berlin, Berlin, Germany"
